query,n_relevant,ndcg@10,first_rel_rank,mrr@100,recall@10,recall@50,recall@100
Who was the point guard that won a seven-game finals series in the 1820s?,1,1.0,1,1.0,1.0,1.0,1.0
Who captained the Los Angeles basketball franchise when they won the 1987 championship?,1,1.0,1,1.0,1.0,1.0,1.0
"What river delta municipality has about 1,456,779 residents?",1,1.0,1,1.0,1.0,1.0,1.0
Which physicist's team improved stability over thermal imaging pipelines two years before publication?,3,0.5,1,1.0,0.6666666666666666,1.0,1.0
Which franchise player averaged 24 points in the last two games of a title series?,3,0.5701406500739014,1,1.0,0.6666666666666666,1.0,1.0
Who negotiated overseas distribution deals during a company's international expansion?,1,0.3562071871080222,7,0.14285714285714285,1.0,1.0,1.0
Where did urban planners redesign a riverfront for festivals in 1972?,2,0.1781035935540111,7,0.14285714285714285,0.5,0.5,0.5
When did automated assembly lines modernize a factory decades after the company was founded?,3,0.0,12,0.08333333333333333,0.0,1.0,1.0
Who chaired preliminary peace talks the year before a September 1958 signing?,1,1.0,1,1.0,1.0,1.0,1.0
What agreement established trade corridors and a joint commission in 1965?,1,1.0,1,1.0,1.0,1.0,1.0
Who founded a youth basketball foundation after retiring to a hometown arena city?,2,0.0,57,0.017543859649122806,0.0,0.0,1.0
Which city hosts light commuter rail and a small regional airport on a fjord-lined coast?,1,1.0,1,1.0,1.0,1.0,1.0
Who led the group that published reproducible laboratory results on stress imaging through harmonic vibration analysis?,1,1.0,2,0.5,1.0,1.0,1.0
Which executive introduced cooperative profit-sharing at a maritime logistics firm?,1,0.31546487678572877,9,0.1111111111111111,1.0,1.0,1.0
Where was the championship clinched in a Memorial Arena game?,1,1.0,1,1.0,1.0,1.0,1.0
Who led the group that published reproducible laboratory results on phase-sensitive radiometry in orbital configurations?,1,1.0,2,0.5,1.0,1.0,1.0
Who served as negotiator for a republic that reopened overland routes after 1995?,1,1.0,1,1.0,1.0,1.0,1.0
"What links a captain's finals performance, his club's rebuild, and a named home arena?",10,0.11732715127377442,9,0.1111111111111111,0.2,0.8,0.9
Which diplomatic settlement involved neutral observers and a joint commission chair?,9,0.22539676398596625,4,0.25,0.3333333333333333,0.8888888888888888,0.8888888888888888
"What can be learned about a city's economy, geography, and transport network together?",9,0.26917187536075465,2,0.5,0.2222222222222222,0.4444444444444444,0.7777777777777778
"What links profit-sharing labor policy, alloy research partnerships, and spin-off software products?",5,0.2807721888661444,1,1.0,0.2,0.8,0.8
Which population center combines cold-water fisheries exports with sister-city training exchanges?,2,0.4434264036172708,4,0.25,1.0,1.0,1.0
"How do a lead researcher's career, an institute's field trials, and graduate teaching of a method connect?",6,0.0,49,0.02040816326530612,0.0,0.16666666666666666,0.16666666666666666
"What links humidity-controlled experiments, bridge monitoring applications, and a patent pool?",12,0.5142868981910398,1,1.0,0.3333333333333333,0.9166666666666666,1.0
Which firm expanded from harbor crane components to international service contracts?,5,0.37436291848819253,2,0.5,0.4,1.0,1.0
"How did negotiations, a signed treaty, and post-war demobilization reports fit together in 1836?",3,1.0,1,1.0,1.0,1.0,1.0
Which population center combines shipbuilding exports with sister-city training exchanges?,3,0.5271341073823443,1,1.0,0.6666666666666666,1.0,1.0
"How do a CEO's agreements, a company's research division, and overseas revenue growth connect?",7,0.06993108739817412,10,0.1,0.14285714285714285,0.5714285714285714,0.5714285714285714
Who was the on-court leader during a championship year that also saw a commemorative banner raised?,4,0.0,22,0.045454545454545456,0.0,0.75,1.0
