query,dense_first_rel,bm25_first_rel,fused_first_rel
Who was the point guard that won a seven-game finals series in the 1820s?,5,1,1
Who captained the Los Angeles basketball franchise when they won the 1987 championship?,1,1,1
"What river delta municipality has about 1,456,779 residents?",2,1,1
Which physicist's team improved stability over thermal imaging pipelines two years before publication?,1,3,1
Which franchise player averaged 24 points in the last two games of a title series?,2,2,1
Who negotiated overseas distribution deals during a company's international expansion?,38,14,7
Where did urban planners redesign a riverfront for festivals in 1972?,9,5,7
When did automated assembly lines modernize a factory decades after the company was founded?,11,9,12
Who chaired preliminary peace talks the year before a September 1958 signing?,3,4,1
What agreement established trade corridors and a joint commission in 1965?,2,1,1
Who founded a youth basketball foundation after retiring to a hometown arena city?,50,27,57
Which city hosts light commuter rail and a small regional airport on a fjord-lined coast?,1,4,1
Who led the group that published reproducible laboratory results on stress imaging through harmonic vibration analysis?,2,4,2
Which executive introduced cooperative profit-sharing at a maritime logistics firm?,7,25,9
Where was the championship clinched in a Memorial Arena game?,3,4,1
Who led the group that published reproducible laboratory results on phase-sensitive radiometry in orbital configurations?,3,2,2
Who served as negotiator for a republic that reopened overland routes after 1995?,20,12,1
"What links a captain's finals performance, his club's rebuild, and a named home arena?",18,4,9
Which diplomatic settlement involved neutral observers and a joint commission chair?,8,6,4
"What can be learned about a city's economy, geography, and transport network together?",11,4,2
"What links profit-sharing labor policy, alloy research partnerships, and spin-off software products?",3,7,1
Which population center combines cold-water fisheries exports with sister-city training exchanges?,6,4,4
"How do a lead researcher's career, an institute's field trials, and graduate teaching of a method connect?",0,24,49
"What links humidity-controlled experiments, bridge monitoring applications, and a patent pool?",1,1,1
Which firm expanded from harbor crane components to international service contracts?,7,2,2
"How did negotiations, a signed treaty, and post-war demobilization reports fit together in 1836?",2,6,1
Which population center combines shipbuilding exports with sister-city training exchanges?,3,1,1
"How do a CEO's agreements, a company's research division, and overseas revenue growth connect?",87,7,10
Who was the on-court leader during a championship year that also saw a commemorative banner raised?,0,5,22
